username,tweetText,scrapeTime,tag,postTimeRaw,postTime,year,month,day
อี้เฉิง ft.midterm crisis@sharkyujin789·May 1,"Congratulations  
โครงการธรรมศาสตร์ช้างเผือก คณะนิติศาสตร์  พี่ขอชื่นชมในความตั้งใจและความพยายามของทุกคนมากๆ ขอให้น้องๆ สนุกกับการเรียน 
ปล.ขอให้น้องช้างคณะนิติศาสตร์ เข้าไลน์กรุ๊ปด้านล่างด้วยนะคะเพื่อที่พี่ๆจะแจ้งข่าวสารให้รับทราบ
#ธรรมศาสตร์ช้างเผือก",2025-05-04 18:09:43.570878,ธรรมศาสตร์ช้างเผือก,1900-05-01,2025-05-01,2025,5,1
andaa @green_thai04·May 1,I got it  #ธรรมศาสตร์ช้างเผือก #dek68 #TU91,2025-05-04 18:09:43.570878,ธรรมศาสตร์ช้างเผือก,1900-05-01,2025-05-01,2025,5,1
(kit)ty@tatty07_5·May 1,"ยังจำความรู้สึกตอนยื่น สัมภาษณ์ เยี่ยมบ้านตอนร้องไห้เพราะกลัวคงามผิดหวังหรือเพราะดีใจไปเยอะมากๆวันนี้ทำสำเร็จแล้วตั้งตัวไม่ถูกเลย แต่สัญญากับทุกคนที่ภูมิใจในตัวเราไว้ว่าจะทำให้ดีที่สุด

#dek68 #ธรรมศาสตร์ช้างเผือก",2025-05-04 18:09:43.570878,ธรรมศาสตร์ช้างเผือก,1900-05-01,2025-05-01,2025,5,1
"(kit)ty@tatty07_5·Oct 23, 2024",โย่ว tu ku เจอกันเน่อ,2025-05-04 18:09:43.570878,ธรรมศาสตร์ช้างเผือก,1900-10-23,2024-10-23,2024,10,23
กุ๊กกุ๊กไก่@Sundayyyyyy18·Apr 27,ภาคใต้มีใครโดนเยี่ยมบ้านแล้วบ้างคะ #ธรรมศาสตร์ช้างเผือก,2025-05-04 18:09:43.570878,ธรรมศาสตร์ช้างเผือก,1900-04-27,2025-04-27,2025,4,27
sry/o.xi@102yhnml·Apr 27,วิศวะ ยังไม่โดนเยี่ยมบ้าน นี่ทำใจได้เลยใช่มั้ยครับ #ธรรมศาสตร์ช้างเผือก,2025-05-04 18:09:43.570878,ธรรมศาสตร์ช้างเผือก,1900-04-27,2025-04-27,2025,4,27
—-@MasterJang4856·Apr 15,ทุกคนคิดว่าไม่โดนเยี่ยมแต่มีสิทธิ์ติดนี่จริงมั้ย หรือใครมีรุ่นพี่ที่ไม่โดนเยี่ยมแต่ติดบ้าง #ธรรมศาสตร์ช้างเผือก,2025-05-04 18:09:43.570878,ธรรมศาสตร์ช้างเผือก,1900-04-15,2025-04-15,2025,4,15
jaychan@mellow3to3·Apr 10,วิศวะโยธามีใครโดนเยี่ยมบ้านยังคะ #ธรรมศาสตร์ช้างเผือก,2025-05-04 18:09:43.570878,ธรรมศาสตร์ช้างเผือก,1900-04-10,2025-04-10,2025,4,10
เบ๊บ@20_4_2020·Mar 25,รัฐศาสตร์มีใครโดนเยี่ยมบ้านยังคะ #ธรรมศาสตร์ช้างเผือก,2025-05-04 18:09:43.570878,ธรรมศาสตร์ช้างเผือก,1900-03-25,2025-03-25,2025,3,25
mornor iee(late reply)@minnielerbchu·Mar 25,ภาคตะวันออกมีใครยังไม่โดนเยี่ยมบ้างคะ เค้าทำใจรอแล้ว #ธรรมศาสตร์ช้างเผือก,2025-05-04 18:09:43.570878,ธรรมศาสตร์ช้างเผือก,1900-03-25,2025-03-25,2025,3,25
someone eat something@jescoia·Mar 24,บริหารมีใครโดนเยี่ยมแล้วบ้างไหมคับ #ธรรมศาสตร์ช้างเผือก,2025-05-04 18:09:43.570878,ธรรมศาสตร์ช้างเผือก,1900-03-24,2025-03-24,2025,3,24
andaa @green_thai04·Mar 24,สอบถามคนที่ติดสัมโครงการนักเรียนสามจังหวัดหน่อยค่ะ ตอนนี้กรรมการเริ่มลงพื้นที่รึยังคะ #ธรรมศาสตร์ช้างเผือก #มธ #ธรรมศาสตร์ #นักเรียนสามจังหวัดชายแดนใต้,2025-05-04 18:09:43.570878,ธรรมศาสตร์ช้างเผือก,1900-03-24,2025-03-24,2025,3,24
t.phixcjill@TnpwoT·Mar 24,"ขออนุญาตสอบถามเพื่อนๆที่ลงโครงการธรรมศาสตร์ช้างเผือก มีใครถูกเยี่ยมบ้านยังคะ เราคณะพาณิชยศาสตร์และการบัญชี 
#ธรรมศาสตร์ช้างเผือก",2025-05-04 18:09:43.570878,ธรรมศาสตร์ช้างเผือก,1900-03-24,2025-03-24,2025,3,24
f@cigarettegfilm·Mar 23,มีใครลงคณะวิศวะแล้วโดนเยี่ยมบ้านไปแล้วมั้ยคะะ #ธรรมศาสตร์ช้างเผือก,2025-05-04 18:09:43.570878,ธรรมศาสตร์ช้างเผือก,1900-03-23,2025-03-23,2025,3,23
✶@synth3tic_·Mar 18,อยากรู้ว่ากรรมการเริ่มเยี่ยมบ้านหรือยังคะ  #ธรรมศาสตร์ช้างเผือก,2025-05-04 18:09:43.570878,ธรรมศาสตร์ช้างเผือก,1900-03-18,2025-03-18,2025,3,18
ผมอยากติดมหาลัยแล้วคับ@mini_cuteJP·Mar 1,"สอบถามหน่อยคับ เราสมัครโควต้าช้างเผือกไปแต่ไม่ติดสัม เราสามารถสมัครโควต้าโครงการอื่นได้อยู่มั้ยคะ หรือรอรอบ3เลยหรอคะ
#ธรรมศาสตร์ช้างเผือก #มหาวิทยาลัยธรรมศาสตร์  #มธ #dek68",2025-05-04 18:09:43.570878,ธรรมศาสตร์ช้างเผือก,1900-03-01,2025-03-01,2025,3,1
igilmore⋆˚𝜗𝜚˚⋆@kpgilmorestudy·Mar 1,ใครอ่านแล้วเข้าใจบ้างคะ นี่อ่านแล้วงงมาก #ธรรมศาสตร์ช้างเผือก,2025-05-04 18:09:43.570878,ธรรมศาสตร์ช้างเผือก,1900-03-01,2025-03-01,2025,3,1
เบ๊บ@20_4_2020·Feb 27,สรุปมีกี่สัมม งงไปหมดละ  #ธรรมศาสตร์ช้างเผือก,2025-05-04 18:09:43.570878,ธรรมศาสตร์ช้างเผือก,1900-02-27,2025-02-27,2025,2,27
ที่มีตั้งเยอะมาบังทำไมวะเนี่ย@becofuit·Feb 27,birth but w/ dek68 #ธรรมศาสตร์ช้างเผือก,2025-05-04 18:09:43.570878,ธรรมศาสตร์ช้างเผือก,1900-02-27,2025-02-27,2025,2,27
เกิดมาชื่นชมคนหล่อ@rolcnen_789·Feb 27,สรุปประกาศทางไหนมีใครรู้บ้างงคะะ #ธรรมศาสตร์ช้างเผือก,2025-05-04 18:09:43.570878,ธรรมศาสตร์ช้างเผือก,1900-02-27,2025-02-27,2025,2,27
₊˚ 𑣿ྀི 달린 ໒꒱⋆ﾟ⊹@darlilenee·Feb 26,สรุปคือไม่มีประกาศผ่านสัมรอบนี้ใช่มั้ยคะ ใครผ่านรอเยี่ยมบ้าน ส่วนคนไม่ผ่านก็  #ธรรมศาสตร์ช้างเผือก,2025-05-04 18:09:43.570878,ธรรมศาสตร์ช้างเผือก,1900-02-26,2025-02-26,2025,2,26
